# keyinject v1
# pid=73399 n=500 warmup=5 gap_ms=100.0 keycode=0 char=a
# inject_subsystem=nice.keyharness inject_category=inject inject_name=KeyPost signpost_id=seq
# mach_timebase numer=125 denom=3  (ns = ticks*numer/denom)
# anchor mach_abs_ticks=11902003003443 mach_cont_ticks=41716846796930 wall_epoch_ns=1782972894226436000
seq,warmup,keycode,mach_abs_ticks,mach_abs_ns,mach_cont_ticks,mach_cont_ns,wall_epoch_ns
118,0,0,11902303834059,495929326419125,41717147627545,1738214484481041,1782972906760966000
119,0,0,11902306359913,495929431663041,41717150153399,1738214589724958,1782972906866209000
120,0,0,11902308885117,495929536879875,41717152678603,1738214694941791,1782972906971425000
121,0,0,11902311383929,495929640997041,41717155177415,1738214799058958,1782972907075542000
122,0,0,11902313908554,495929746189750,41717157702040,1738214904251666,1782972907180734000
123,0,0,11902316342422,495929847600916,41717160135908,1738215005662833,1782972907282144000
124,0,0,11902318865949,495929952747875,41717162659435,1738215110809791,1782972907387291000
125,0,0,11902321388379,495930057849125,41717165181865,1738215215911041,1782972907492391000
126,0,0,11902323910611,495930162942125,41717167704097,1738215321004041,1782972907597484000
127,0,0,11902326392923,495930266371791,41717170186409,1738215424433708,1782972907700912000
128,0,0,11902328918187,495930371591125,41717172711674,1738215529653083,1782972907806131000
129,0,0,11902331443537,495930476814041,41717175237024,1738215634876000,1782972907911354000
130,0,0,11902333968154,495930582006416,41717177761641,1738215740068375,1782972908016545000
131,0,0,11902336478638,495930686609916,41717180272124,1738215844671833,1782972908121148000
132,0,0,11902339004451,495930791852125,41717182797937,1738215949914041,1782972908226390000
133,0,0,11902341528484,495930897020166,41717185321970,1738216055082083,1782972908331557000
134,0,0,11902343970916,495930998788166,41717187764403,1738216156850125,1782972908433324000
135,0,0,11902346428831,495931101201291,41717190222317,1738216259263208,1782972908535737000
136,0,0,11902348848852,495931202035500,41717192642338,1738216360097416,1782972908636570000
137,0,0,11902351372412,495931307183833,41717195165899,1738216465245791,1782972908741718000
138,0,0,11902353897726,495931412405250,41717197691213,1738216570467208,1782972908846939000
139,0,0,11902356420934,495931517538916,41717200214420,1738216675600833,1782972908952072000
140,0,0,11902358903441,495931620976708,41717202696927,1738216779038625,1782972909055509000
141,0,0,11902361390164,495931724590166,41717205183650,1738216882652083,1782972909159122000
142,0,0,11902363835946,495931826497750,41717207629433,1738216984559708,1782972909261029000
143,0,0,11902366251447,495931927143625,41717210044933,1738217085205541,1782972909361674000
144,0,0,11902368767247,495932031968625,41717212560734,1738217190030583,1782972909466498000
145,0,0,11902371275863,495932136494291,41717215069350,1738217294556250,1782972909571023000
146,0,0,11902373801087,495932241711958,41717217594573,1738217399773875,1782972909676240000
147,0,0,11902376317394,495932346558083,41717220110880,1738217504620000,1782972909781086000
148,0,0,11902378842750,495932451781250,41717222636236,1738217609843166,1782972909886309000
149,0,0,11902381366630,495932556942916,41717225160117,1738217715004875,1782972909991469000
150,0,0,11902383775732,495932657322166,41717227569219,1738217815384125,1782972910091848000
151,0,0,11902386190423,495932757934291,41717229983909,1738217915996208,1782972910192459000
152,0,0,11902388714403,495932863100125,41717232507889,1738218021162041,1782972910297624000
153,0,0,11902391237597,495932968233208,41717235031083,1738218126295125,1782972910402757000
154,0,0,11902393760750,495933073364583,41717237554237,1738218231426541,1782972910507888000
155,0,0,11902396179045,495933174126875,41717239972531,1738218332188791,1782972910608649000
156,0,0,11902398676377,495933278182375,41717242469863,1738218436244291,1782972910712704000
157,0,0,11902401200922,495933383371750,41717244994408,1738218541433666,1782972910817893000
158,0,0,11902403725641,495933488568375,41717247519127,1738218646630291,1782972910923089000
159,0,0,11902406203211,495933591800458,41717249996697,1738218749862375,1782972911026320000
160,0,0,11902408727812,495933696992166,41717252521298,1738218855054083,1782972911131511000
161,0,0,11902411252076,495933802169833,41717255045563,1738218960231791,1782972911236688000
162,0,0,11902413775210,495933907300416,41717257568697,1738219065362375,1782972911341818000
163,0,0,11902416226705,495934009446041,41717260020191,1738219167507958,1782972911443963000
164,0,0,11902418750643,495934114610125,41717262544129,1738219272672041,1782972911549127000
165,0,0,11902421238992,495934218291333,41717265032478,1738219376353250,1782972911652807000
166,0,0,11902423762564,495934323440166,41717267556050,1738219481502083,1782972911757955000
167,0,0,11902426286324,495934428596833,41717270079810,1738219586658750,1782972911863111000
168,0,0,11902428809369,495934533723708,41717272602855,1738219691785625,1782972911968238000
169,0,0,11902431274417,495934636434041,41717275067904,1738219794496000,1782972912070947000
170,0,0,11902433797664,495934741569333,41717277591150,1738219899631250,1782972912176082000
171,0,0,11902436321202,495934846716750,41717280114689,1738220004778708,1782972912281229000
172,0,0,11902438844466,495934951852750,41717282637952,1738220109914666,1782972912386364000
173,0,0,11902441275983,495935053165958,41717285069469,1738220211227875,1782972912487677000
174,0,0,11902443799188,495935158299500,41717287592675,1738220316361458,1782972912592810000
175,0,0,11902446248145,495935260339375,41717290041632,1738220418401333,1782972912694849000
176,0,0,11902448772588,495935365524500,41717292566074,1738220523586416,1782972912800033000
177,0,0,11902451296754,495935470698083,41717295090240,1738220628760000,1782972912905206000
178,0,0,11902453758288,495935573262000,41717297551774,1738220731323916,1782972913007769000
179,0,0,11902456281999,495935678416625,41717300075485,1738220836478541,1782972913112923000
180,0,0,11902458788083,495935782836791,41717302581570,1738220940898750,1782972913217343000
181,0,0,11902461311892,495935887995500,41717305105378,1738221046057416,1782972913322501000
182,0,0,11902463834660,495935993110833,41717307628147,1738221151172791,1782972913427616000
183,0,0,11902466358870,495936098286250,41717310152357,1738221256348208,1782972913532791000
184,0,0,11902468858698,495936202445750,41717312652185,1738221360507708,1782972913636949000
185,0,0,11902471383773,495936307657208,41717315177260,1738221465719166,1782972913742160000
186,0,0,11902473906931,495936412788791,41717317700417,1738221570850708,1782972913847291000
187,0,0,11902476394461,495936516435875,41717320187947,1738221674497791,1782972913950938000
188,0,0,11902478917471,495936621561291,41717322710957,1738221779623208,1782972914056062000
189,0,0,11902481441573,495936726732208,41717325235060,1738221884794166,1782972914161232000
190,0,0,11902483966352,495936831931333,41717327759838,1738221989993250,1782972914266431000
191,0,0,11902486489445,495936937060208,41717330282932,1738222095122166,1782972914371559000
192,0,0,11902489013987,495937042249458,41717332807473,1738222200311375,1782972914476748000
193,0,0,11902491508266,495937146177750,41717335301752,1738222304239666,1782972914580676000
194,0,0,11902494030937,495937251289041,41717337824423,1738222409350958,1782972914685786000
195,0,0,11902496559208,495937356633666,41717340352694,1738222514695583,1782972914791130000
196,0,0,11902499081312,495937461721333,41717342874799,1738222619783291,1782972914896217000
197,0,0,11902501604400,495937566850000,41717345397886,1738222724911916,1782972915001345000
198,0,0,11902504014916,495937667288166,41717347808402,1738222825350083,1782972915101783000
199,0,0,11902506530732,495937772113833,41717350324218,1738222930175750,1782972915206607000
200,0,0,11902509055161,495937877298375,41717352848647,1738223035360291,1782972915311791000
201,0,0,11902511578517,495937982438208,41717355372004,1738223140500166,1782972915416931000
202,0,0,11902514058115,495938085754791,41717357851601,1738223243816708,1782972915520246000
203,0,0,11902516556046,495938189835250,41717360349532,1738223347897166,1782972915624326000
204,0,0,11902519080680,495938295028333,41717362874167,1738223453090291,1782972915729519000
205,0,0,11902521606479,495938400269958,41717365399965,1738223558331875,1782972915834760000
206,0,0,11902524131342,495938505472583,41717367924828,1738223663534500,1782972915939962000
207,0,0,11902526655840,495938610660000,41717370449327,1738223768721958,1782972916045148000
208,0,0,11902529180245,495938715843541,41717372973731,1738223873905458,1782972916150331000
209,0,0,11902531644053,495938818502208,41717375437539,1738223976564125,1782972916252989000
210,0,0,11902534166178,495938923590750,41717377959664,1738224081652666,1782972916358077000
211,0,0,11902536688645,495939028693541,41717380482131,1738224186755458,1782972916463179000
212,0,0,11902539211587,495939133816125,41717383005073,1738224291878041,1782972916568301000
213,0,0,11902541734379,495939238932458,41717385527865,1738224396994375,1782972916673417000
214,0,0,11902544212630,495939342192916,41717388006116,1738224500254833,1782972916776677000
215,0,0,11902546717305,495939446554375,41717390510792,1738224604616333,1782972916881038000
216,0,0,11902549242900,495939551787500,41717393036387,1738224709849458,1782972916986270000
217,0,0,11902551766991,495939656957958,41717395560477,1738224815019875,1782972917091440000
218,0,0,11902554290639,495939762109958,41717398084126,1738224920171916,1782972917196591000
219,0,0,11902556815745,495939867322708,41717400609231,1738225025384625,1782972917301803000
220,0,0,11902559339568,495939972482000,41717403133054,1738225130543916,1782972917406962000
221,0,0,11902561863045,495940077626875,41717405656532,1738225235688833,1782972917512106000
222,0,0,11902564367084,495940181961833,41717408160570,1738225340023750,1782972917616440000
223,0,0,11902566890868,495940287119500,41717410684355,1738225445181458,1782972917721597000
224,0,0,11902569415762,495940392323416,41717413209248,1738225550385333,1782972917826801000
225,0,0,11902571888736,495940495364000,41717415682223,1738225653425958,1782972917929841000
226,0,0,11902574414678,495940600611583,41717418208164,1738225758673500,1782972918035087000
227,0,0,11902576889816,495940703742333,41717420683302,1738225861804250,1782972918138217000
228,0,0,11902579413089,495940808878708,41717423206575,1738225966940625,1782972918243353000
229,0,0,11902581936606,495940914025250,41717425730092,1738226072087166,1782972918348499000
230,0,0,11902584458546,495941019106083,41717428252032,1738226177168000,1782972918453579000
231,0,0,11902586981759,495941124239958,41717430775246,1738226282301916,1782972918558713000
232,0,0,11902589504848,495941229368666,41717433298334,1738226387430583,1782972918663841000
233,0,0,11902592029071,495941334544625,41717435822558,1738226492606583,1782972918769016000
234,0,0,11902594555025,495941439792708,41717438348512,1738226597854666,1782972918874263000
235,0,0,11902596986077,495941541086541,41717440779564,1738226699148500,1782972918975556000
236,0,0,11902599425647,495941642735291,41717443219133,1738226800797208,1782972919077205000
237,0,0,11902601910071,495941746252958,41717445703557,1738226904314875,1782972919180722000
238,0,0,11902604434878,495941851453250,41717448228364,1738227009515166,1782972919285921000
239,0,0,11902606958298,495941956595750,41717450751784,1738227114657666,1782972919391063000
240,0,0,11902609483096,495942061795666,41717453276583,1738227219857625,1782972919496262000
241,0,0,11902612006696,495942166945666,41717455800182,1738227325007583,1782972919601412000
242,0,0,11902614481420,495942270059166,41717458274906,1738227428121083,1782972919704524000
243,0,0,11902617003360,495942375140000,41717460796846,1738227533201916,1782972919809605000
244,0,0,11902619527542,495942480314250,41717463321029,1738227638376208,1782972919914778000
245,0,0,11902622053718,495942585571583,41717465847204,1738227743633500,1782972920020035000
246,0,0,11902624458966,495942685790250,41717468252452,1738227843852166,1782972920120253000
247,0,0,11902626976405,495942790683541,41717470769891,1738227948745458,1782972920225146000
248,0,0,11902629405481,495942891895041,41717473198968,1738228049957000,1782972920326357000
249,0,0,11902631917279,495942996553291,41717475710765,1738228154615208,1782972920431014000
250,0,0,11902634442306,495943101762750,41717478235792,1738228259824666,1782972920536223000
251,0,0,11902636860473,495943202519708,41717480653959,1738228360581625,1782972920636979000
252,0,0,11902639383974,495943307665583,41717483177460,1738228465727500,1782972920742124000
253,0,0,11902641841693,495943410070541,41717485635179,1738228568132458,1782972920844529000
