# keyinject v1
# pid=91729 n=500 warmup=5 gap_ms=100.0 keycode=0 char=a
# inject_subsystem=nice.keyharness inject_category=inject inject_name=KeyPost signpost_id=seq
# mach_timebase numer=125 denom=3  (ns = ticks*numer/denom)
# anchor mach_abs_ticks=12155566765283 mach_cont_ticks=42870621903591 wall_epoch_ns=1783020968037040000
seq,warmup,keycode,mach_abs_ticks,mach_abs_ns,mach_cont_ticks,mach_cont_ns,wall_epoch_ns
159,0,0,12155970374519,506498765604958,42871025512827,1786292729701125,1783020984854036000
160,0,0,12155972898519,506498870771625,42871028036827,1786292834867791,1783020984959202000
161,0,0,12155975422433,506498975934708,42871030560742,1786292940030916,1783020985064365000
162,0,0,12155977946531,506499081105458,42871033084839,1786293045201625,1783020985169535000
163,0,0,12155980467656,506499186152333,42871035605965,1786293150248541,1783020985274582000
164,0,0,12155982991365,506499291306875,42871038129673,1786293255403041,1783020985379736000
165,0,0,12155985481458,506499395060750,42871040619767,1786293359156958,1783020985483490000
166,0,0,12155988005814,506499500242250,42871043144123,1786293464338458,1783020985588671000
167,0,0,12155990496633,506499604026375,42871045634941,1786293568122541,1783020985692455000
168,0,0,12155993021260,506499709219166,42871048159568,1786293673315333,1783020985797647000
169,0,0,12155995441558,506499810064916,42871050579866,1786293774161083,1783020985898493000
170,0,0,12155997966996,506499915291500,42871053105305,1786293879387708,1783020986003719000
171,0,0,12156000490781,506500020449208,42871055629090,1786293984545416,1783020986108876000
172,0,0,12156003015304,506500125637666,42871058153613,1786294089733875,1783020986214064000
173,0,0,12156005435718,506500226488250,42871060574026,1786294190584416,1783020986314914000
174,0,0,12156007959228,506500331634500,42871063097537,1786294295730708,1783020986420061000
175,0,0,12156010432771,506500434698791,42871065571079,1786294398794958,1783020986523124000
176,0,0,12156012957754,506500539906416,42871068096064,1786294504002666,1783020986628332000
177,0,0,12156015386629,506500641109541,42871070524938,1786294605205750,1783020986729534000
178,0,0,12156017851270,506500743802916,42871072989578,1786294707899083,1783020986832227000
179,0,0,12156020375277,506500848969875,42871075513585,1786294813066041,1783020986937394000
180,0,0,12156022898143,506500954089291,42871078036451,1786294918185458,1783020987042513000
181,0,0,12156025421609,506501059233708,42871080559918,1786295023329916,1783020987147657000
182,0,0,12156027945481,506501164395041,42871083083790,1786295128491250,1783020987252818000
183,0,0,12156030446030,506501268584583,42871085584338,1786295232680750,1783020987357007000
184,0,0,12156032964768,506501373532000,42871088103077,1786295337628208,1783020987461954000
185,0,0,12156035386575,506501474440625,42871090524883,1786295438536791,1783020987562863000
186,0,0,12156037912455,506501579685625,42871093050764,1786295543781833,1783020987668107000
187,0,0,12156040411952,506501683831333,42871095550260,1786295647927500,1783020987772253000
188,0,0,12156042920656,506501788360666,42871098058964,1786295752456833,1783020987876782000
189,0,0,12156045445409,506501893558708,42871100583717,1786295857654875,1783020987981979000
190,0,0,12156047969188,506501998716166,42871103107496,1786295962812333,1783020988087137000
191,0,0,12156050492548,506502103856166,42871105630856,1786296067952333,1783020988192276000
192,0,0,12156053018168,506502209090333,42871108156476,1786296173186500,1783020988297510000
193,0,0,12156055541907,506502314246125,42871110680216,1786296278342333,1783020988402666000
194,0,0,12156058074986,506502419791083,42871113213295,1786296383887291,1783020988508210000
195,0,0,12156060564398,506502523516583,42871115702706,1786296487612750,1783020988611935000
196,0,0,12156063038093,506502626587208,42871118176402,1786296590683416,1783020988715006000
197,0,0,12156065562621,506502731775875,42871120700929,1786296695872041,1783020988820194000
198,0,0,12156068087403,506502836975125,42871123225711,1786296801071291,1783020988925393000
199,0,0,12156070534893,506502938953875,42871125673201,1786296903050041,1783020989027371000
200,0,0,12156072986287,506503041095291,42871128124595,1786297005191458,1783020989129512000
201,0,0,12156075463255,506503144302291,42871130601564,1786297108398500,1783020989232719000
202,0,0,12156077961276,506503248386500,42871133099584,1786297212482666,1783020989336803000
203,0,0,12156080484688,506503353528666,42871135622996,1786297317624833,1783020989441945000
204,0,0,12156083006836,506503458618166,42871138145144,1786297422714333,1783020989547034000
205,0,0,12156085482576,506503561774000,42871140620885,1786297525870208,1783020989650189000
206,0,0,12156088006306,506503666929416,42871143144614,1786297631025583,1783020989755344000
207,0,0,12156090443098,506503768462416,42871145581407,1786297732558625,1783020989856877000
208,0,0,12156092969593,506503873733041,42871148107902,1786297837829250,1783020989962147000
209,0,0,12156095492043,506503978835125,42871150630351,1786297942931291,1783020990067249000
210,0,0,12156098014953,506504083956375,42871153153261,1786298048052541,1783020990172370000
