# keyinject v1
# pid=79268 n=500 warmup=5 gap_ms=100.0 keycode=0 char=a
# inject_subsystem=nice.keyharness inject_category=inject inject_name=KeyPost signpost_id=seq
# mach_timebase numer=125 denom=3  (ns = ticks*numer/denom)
# anchor mach_abs_ticks=11962715517069 mach_cont_ticks=41777559310555 wall_epoch_ns=1782975423938397000
seq,warmup,keycode,mach_abs_ticks,mach_abs_ns,mach_cont_ticks,mach_cont_ns,wall_epoch_ns
193,0,0,11963204125294,498466838553916,41778047918781,1740751996615875,1782975444297122000
194,0,0,11963206650757,498466943781541,41778050444243,1740752101843458,1782975444402350000
195,0,0,11963209175213,498467048967208,41778052968700,1740752207029166,1782975444507536000
196,0,0,11963211722291,498467155095458,41778055515778,1740752313157416,1782975444613665000
197,0,0,11963214156725,498467256530208,41778057950211,1740752414592125,1782975444715100000
198,0,0,11963216628279,498467359511625,41778060421766,1740752517573583,1782975444818081000
199,0,0,11963219108805,498467462866875,41778062902291,1740752620928791,1782975444921437000
200,0,0,11963221556068,498467564836166,41778065349554,1740752722898083,1782975445023406000
201,0,0,11963224082335,498467670097291,41778067875821,1740752828159208,1782975445128668000
202,0,0,11963226606734,498467775280583,41778070400220,1740752933342500,1782975445233851000
203,0,0,11963229053295,498467877220625,41778072846782,1740753035282583,1782975445335792000
204,0,0,11963231579239,498467982468291,41778075372726,1740753140530250,1782975445441040000
205,0,0,11963234104942,498468087705916,41778077898428,1740753245767833,1782975445546277000
206,0,0,11963236629186,498468192882750,41778080422672,1740753350944666,1782975445651454000
207,0,0,11963239060528,498468294188666,41778082854014,1740753452250583,1782975445752761000
208,0,0,11963241587278,498468399469916,41778085380764,1740753557531833,1782975445858042000
209,0,0,11963244113332,498468504722166,41778087906819,1740753662784125,1782975445963295000
210,0,0,11963246637976,498468609915666,41778090431463,1740753767977625,1782975446068488000
211,0,0,11963249164495,498468715187291,41778092957982,1740753873249250,1782975446173760000
212,0,0,11963251636694,498468818195583,41778095430181,1740753976257541,1782975446276769000
213,0,0,11963254165206,498468923550250,41778097958692,1740754081612166,1782975446382124000
214,0,0,11963256691392,498469028808000,41778100484878,1740754186869916,1782975446487382000
215,0,0,11963259198554,498469133273083,41778102992041,1740754291335041,1782975446591847000
216,0,0,11963261653756,498469235573166,41778105447243,1740754393635125,1782975446694148000
217,0,0,11963264178426,498469340767750,41778107971913,1740754498829708,1782975446799342000
218,0,0,11963266704435,498469446018125,41778110497921,1740754604080041,1782975446904593000
219,0,0,11963269129895,498469547078958,41778112923381,1740754705140875,1782975447005654000
220,0,0,11963271598507,498469649937791,41778115391993,1740754807999708,1782975447108513000
221,0,0,11963274124182,498469755174250,41778117917668,1740754913236166,1782975447213750000
222,0,0,11963276623390,498469859307916,41778120416876,1740755017369833,1782975447317884000
223,0,0,11963279116767,498469963198625,41778122910254,1740755121260583,1782975447421775000
224,0,0,11963281643785,498470068491041,41778125437272,1740755226553000,1782975447527068000
225,0,0,11963284169926,498470173746916,41778127963413,1740755331808875,1782975447632323000
226,0,0,11963286695455,498470278977291,41778130488941,1740755437039208,1782975447737554000
227,0,0,11963289221345,498470384222708,41778133014831,1740755542284625,1782975447842800000
228,0,0,11963291747912,498470489496333,41778135541398,1740755647558250,1782975447948074000
229,0,0,11963294274015,498470594750625,41778138067501,1740755752812541,1782975448053328000
230,0,0,11963296798891,498470699953791,41778140592378,1740755858015750,1782975448158532000
231,0,0,11963299322675,498470805111458,41778143116162,1740755963173416,1782975448263690000
232,0,0,11963301770175,498470907090625,41778145563662,1740756065152583,1782975448365669000
233,0,0,11963304232448,498471009685333,41778148025934,1740756167747250,1782975448468264000
234,0,0,11963306758617,498471114942375,41778150552103,1740756273004291,1782975448573521000
235,0,0,11963309283934,498471220163916,41778153077421,1740756378225875,1782975448678743000
236,0,0,11963311731543,498471322147625,41778155525029,1740756480209541,1782975448780727000
237,0,0,11963314144375,498471422682291,41778157937861,1740756580744208,1782975448881262000
238,0,0,11963316667881,498471527828375,41778160461368,1740756685890333,1782975448986408000
239,0,0,11963319126022,498471630250916,41778162919508,1740756788312833,1782975449088831000
240,0,0,11963321645148,498471735214500,41778165438635,1740756893276458,1782975449193795000
241,0,0,11963324162540,498471840105833,41778167956026,1740756998167750,1782975449298686000
242,0,0,11963326688332,498471945347166,41778170481818,1740757103409083,1782975449403928000
243,0,0,11963329170394,498472048766416,41778172963880,1740757206828333,1782975449507348000
244,0,0,11963331601795,498472150074791,41778175395282,1740757308136750,1782975449608656000
245,0,0,11963334049900,498472252079166,41778177843387,1740757410141125,1782975449710661000
